condition,objectSide,handUsed,blockNumber,density,width(cm),completionTime(ms),errorCount

actualWalkTwo,,,200,0,0,0,0

actualWalkTwo,,,201,0,0,0,0

actualWalkTwo,,,202,0,0,0,0

actualWalkTwo,,,203,0,0,0,0

actualWalkTwo,,,204,0,0,0,0

actualWalkTwo,,,205,0,0,0,0

actualWalkTwo,,,206,0,0,0,0

actualWalkTwo,,,207,0,0,0,0

actualWalkTwo,,,208,0,0,0,0

actualWalkTwo,,,209,0,0,0,0

actualWalkTwo,,,210,0,0,0,0

actualWalkTwo,,,211,0,0,0,0

actualWalkTwo,,,212,0,0,0,0

actualWalkTwo,,,213,0,0,0,0

actualWalkTwo,,,214,0,0,0,0

actualWalkTwo,,,215,0,0,0,0

actualWalkTwo,,,216,0,0,0,0

actualWalkTwo,,,217,0,0,0,0

actualWalkTwo,,,218,0,0,0,0

actualWalkTwo,,,219,0,0,0,0

actualWalkTwo,,,220,0,0,0,0

actualWalkTwo,,,221,0,0,0,0

actualWalkTwo,,,222,0,0,0,0

actualWalkTwo,,,223,0,0,0,0

actualWalkTwo,,,224,0,0,0,0

actualWalkTwo,,,225,0,0,0,0

actualWalkTwo,,,226,0,0,0,0

actualWalkTwo,,,227,0,0,0,0

actualWalkTwo,,,228,0,0,0,0

actualWalkTwo,,,229,0,0,0,0

actualWalkTwo,,,230,0,0,0,0

actualWalkTwo,,,231,0,0,0,0

actualWalkTwo,,,232,0,0,0,0

actualWalkTwo,,,233,0,0,0,0

actualWalkTwo,,,234,0,0,0,0

actualWalkTwo,,,235,0,0,0,0

actualWalkTwo,,,236,0,0,0,0

actualWalkTwo,,,237,0,0,0,0

actualWalkTwo,,,238,0,0,0,0

actualWalkTwo,,,239,0,0,0,0

actualWalkTwo,,,240,0,0,0,0

actualWalkTwo,,,241,0,0,0,0

actualWalkTwo,,,242,0,0,0,0

actualWalkTwo,,,243,0,0,0,0

actualWalkTwo,,,244,0,0,0,0

actualWalkTwo,,,245,0,0,0,0

actualWalkTwo,,,246,0,0,0,0

actualWalkTwo,,,247,0,0,0,0

actualWalkTwo,,,248,0,0,0,0

actualWalkTwo,,,249,0,0,0,0

actualWalkTwo,,,250,0,0,0,0

actualWalkTwo,,,251,0,0,0,0

actualWalkTwo,,,252,0,0,0,0

actualWalkTwo,,,253,0,0,0,0

actualWalkTwo,,,254,0,0,0,0

actualWalkTwo,,,255,0,0,0,0

actualWalkTwo,,,256,0,0,0,0

actualWalkTwo,,,257,0,0,0,0

actualWalkTwo,,,258,0,0,0,0

actualWalkTwo,,,259,0,0,0,0

actualWalkTwo,,,260,0,0,0,0

actualWalkTwo,,,261,0,0,0,0

actualWalkTwo,,,262,0,0,0,0

actualWalkTwo,,,263,0,0,0,0

actualWalkTwo,,,264,0,0,0,0

actualWalkTwo,,,265,0,0,0,0

